Algoritmo,Tempo Serial (ns),Tempo Paralelo (ns),Comparativo (Serial/Paralelo),Tamanho da Lista
Merge Sort(4 Threads),7898900,6987600,0.8846295,800
Merge Sort(3 Threads),7898900,2921000,0.36979833,800
Merge Sort(2 Threads),7898900,2709700,0.34304777,800
Merge Sort(5 Threads),7898900,2230400,0.28236842,800
Merge Sort(6 Threads),7898900,2851000,0.36093634,800
Selection Sort(4 Threads),31480100,72273500,2.2958474,800
Selection Sort(3 Threads),31480100,43356900,1.3772796,800
Selection Sort(2 Threads),31480100,30515400,0.9693552,800
Selection Sort(5 Threads),31480100,32363800,1.0280718,800
Selection Sort(6 Threads),31480100,30060800,0.9549144,800
Quick Sort(4 Threads),1521900,3608300,2.370918,800
Quick Sort(3 Threads),1521900,1918600,1.260661,800
Quick Sort(2 Threads),1521900,2473400,1.6252053,800
Quick Sort(5 Threads),1521900,1948100,1.2800447,800
Quick Sort(6 Threads),1521900,1356300,0.8911886,800
Bubble Sort(4 Threads),7154900,135558400,18.946232,800
Bubble Sort(3 Threads),7154900,135729100,18.97009,800
Bubble Sort(2 Threads),7154900,120046100,16.778166,800
Bubble Sort(5 Threads),7154900,59180700,8.271353,800
Bubble Sort(6 Threads),7154900,57204300,7.9951224,800
